2025-04-14 20:58:58,563 - Master - INFO - Active Crawler Nodes: [1, 2, 3]
2025-04-14 20:58:58,564 - Master - INFO - Active Indexer Nodes: [4]
2025-04-14 20:58:58,648 - Master - INFO - Active Crawler Nodes: [1, 2, 3]
2025-04-14 20:58:58,648 - Master - INFO - Active Indexer Nodes: [4]
2025-04-14 20:58:58,705 - Master - INFO - Active Crawler Nodes: [1, 2, 3]
2025-04-14 20:58:58,706 - Master - INFO - Active Indexer Nodes: [4]
2025-04-14 20:58:58,707 - Master - INFO - Active Crawler Nodes: [1, 2, 3]
2025-04-14 20:58:58,708 - Master - INFO - Active Indexer Nodes: [4]
2025-04-14 20:58:58,728 - Master - INFO - Active Crawler Nodes: [1, 2, 3]
2025-04-14 20:58:58,729 - Master - INFO - Active Indexer Nodes: [4]
2025-04-14 21:00:00,650 - Master - INFO - Status: Queue=2, In Progress=0, Completed=0, Failed=0
2025-04-14 21:00:00,650 - Master - INFO - Status: Queue=2, In Progress=0, Completed=0, Failed=0
2025-04-14 21:00:00,650 - Master - INFO - Status: Queue=2, In Progress=0, Completed=0, Failed=0
2025-04-14 21:00:00,651 - Master - INFO - Status: Queue=2, In Progress=0, Completed=0, Failed=0
2025-04-14 21:00:00,751 - Master - INFO - Status: Queue=2, In Progress=0, Completed=0, Failed=0
2025-04-14 21:00:00,751 - Master - INFO - Status: Queue=2, In Progress=0, Completed=0, Failed=0
2025-04-14 21:00:00,752 - Master - INFO - Status: Queue=2, In Progress=0, Completed=0, Failed=0
2025-04-14 21:00:00,851 - Master - INFO - Status: Queue=2, In Progress=0, Completed=0, Failed=0
2025-04-14 21:00:00,851 - Master - INFO - Status: Queue=2, In Progress=0, Completed=0, Failed=0
2025-04-14 21:00:00,851 - Master - INFO - Status: Queue=2, In Progress=0, Completed=0, Failed=0
2025-04-14 21:00:00,852 - Master - INFO - Status: Queue=2, In Progress=0, Completed=0, Failed=0
2025-04-14 21:00:00,952 - Master - INFO - Status: Queue=2, In Progress=0, Completed=0, Failed=0
2025-04-14 21:00:00,952 - Master - INFO - Status: Queue=2, In Progress=0, Completed=0, Failed=0
2025-04-14 21:00:00,952 - Master - INFO - Status: Queue=2, In Progress=0, Completed=0, Failed=0
2025-04-14 21:00:00,953 - Master - INFO - Status: Queue=2, In Progress=0, Completed=0, Failed=0
2025-04-14 21:01:00,048 - Master - INFO - Status: Queue=2, In Progress=0, Completed=0, Failed=0
2025-04-14 21:01:00,071 - Master - INFO - Status: Queue=2, In Progress=0, Completed=0, Failed=0
2025-04-14 21:01:00,071 - Master - INFO - Status: Queue=2, In Progress=0, Completed=0, Failed=0
2025-04-14 21:01:00,149 - Master - INFO - Status: Queue=2, In Progress=0, Completed=0, Failed=0
2025-04-14 21:01:00,172 - Master - INFO - Status: Queue=2, In Progress=0, Completed=0, Failed=0
2025-04-14 21:01:00,250 - Master - INFO - Status: Queue=2, In Progress=0, Completed=0, Failed=0
2025-04-14 21:01:00,272 - Master - INFO - Status: Queue=2, In Progress=0, Completed=0, Failed=0
2025-04-14 21:01:00,350 - Master - INFO - Status: Queue=2, In Progress=0, Completed=0, Failed=0
2025-04-14 21:01:00,373 - Master - INFO - Status: Queue=2, In Progress=0, Completed=0, Failed=0
2025-04-14 21:01:00,451 - Master - INFO - Status: Queue=2, In Progress=0, Completed=0, Failed=0
2025-04-14 21:01:00,473 - Master - INFO - Status: Queue=2, In Progress=0, Completed=0, Failed=0
2025-04-14 21:01:00,552 - Master - INFO - Status: Queue=2, In Progress=0, Completed=0, Failed=0
2025-04-14 21:01:00,574 - Master - INFO - Status: Queue=2, In Progress=0, Completed=0, Failed=0
2025-04-14 21:01:00,652 - Master - INFO - Status: Queue=2, In Progress=0, Completed=0, Failed=0
